t;G1;G2;G3;COI
0.01;1.126604069033732;5.937614911249511;7.6735266326565466;2.6544923082667538
0.02;1.133457720858644;5.937010815285505;7.642355919312394;2.6564387611507816
0.03;1.1481670454998039;5.935506433823079;7.566041457668504;2.6597184544531416
0.04;1.1648664321917577;5.933414817866377;7.462257246962876;2.661806099991892
0.05;1.183529409100004;5.930746186001557;7.331974912907314;2.662773231751459
0.06;1.2041305122213684;5.927510616613318;7.17621572003395;2.6626965982618596
0.07;1.2266287652970218;5.92371804973446;6.996517491617025;2.6616888707923887
0.08;1.2509444268175691;5.919378288913893;6.7955173454180375;2.6599350834708004
0.09;1.2769698137553573;5.9145010030853475;6.576220442302726;2.657633777556256
0.1;1.3045950470687016;5.909095728387469;6.340946764393251;2.654919495770613
0.11;1.333703015431454;5.903171869959325;6.091568453519616;2.6518807956929193
0.12;1.3641551577062925;5.89673870370646;5.8300286162964445;2.648597330315638
0.13;1.395788351897663;5.889805378043528;5.558422373179534;2.6451450045872327
0.14;1.428415064905409;5.882380915616994;5.278981776414329;2.641594709268348
0.15;1.4618244075556681;5.874474214995121;4.994054540806306;2.638011138832398
0.16;1.4957840796441233;5.8660940523399265;4.706077232710366;2.634451741247543
0.17;1.5300431432116575;5.857249083054586;4.417543885957544;2.6309658436854746
0.18;1.56433552088835;5.847947843408721;4.130971314500799;2.6275939960140007
0.19;1.5983841279012965;5.8381987521414604;3.848862773666891;2.6243676171262087
0.2;1.6319265837882577;5.828010112040974;3.5737437949197943;2.621330649940036
0.21;1.6647540482164667;5.817390111500489;3.308274053901174;2.6185775284627524
0.22;1.6966829440065097;5.8063468260559805;3.055159821763451;2.616224978716628
0.23;1.727483880453918;5.794888219900687;2.816858426796999;2.614334263417818
0.24;1.7568816611117208;5.7830221473750525;2.5954660051930047;2.6129009648261827
0.25;1.7846018553058214;5.77075635444117;2.3928015240819867;2.6118959490265303
0.26;1.8103912846889598;5.758098480138679;2.2104491424379074;2.611283877812196
0.27;1.8340202674266932;5.745056058013626;2.0497548645675305;2.611024509398161
0.28;1.8552838536955143;5.731636517530713;1.91183083872453;2.6110739739213122
0.29;1.8740020950300398;5.717847185466251;1.7975668306796455;2.6113860113117275
0.3;1.8900193908894618;5.703695287283489;1.7076480305366444;2.6119131259051165
0.31;4.316116997060245;3.9355575287323994;-5.41268587415757;3.356380923241883
0.31;4.8580602586490285;-3.614066043786576;-14.003044652464057;1.4997082429744055
0.32;2.4576739441144446;-1.9463434781734161;-6.748627325547923;0.7663977467064591
0.33;2.490502706984896;-2.1348963526531133;-6.379601693335241;0.7869756804602439
0.34;2.51587047418838;-2.3271111670176525;-5.9688745107589485;0.8053057265819079
