t;G1;G2;G3;COI
0.01;105.93133418396563;152.0145822057126;92.6790249955939;350.62494138527217
0.02;107.13202735463051;151.99130124960908;92.0994963187621;351.22282492300167
0.03;108.52365945038605;151.95272277897055;91.17784344088868;351.6542256702453
0.04;110.10335704069901;151.89911201458588;89.92537340068769;351.9278424559726
0.05;111.86870578651389;151.83073054005993;88.353718771402;352.05315509797583
0.06;113.81739509024654;151.7478363505852;86.47510086201277;352.0403323028445
0.07;115.94682898157961;151.65068389876217;84.30262858126737;351.90014146160917
0.08;118.2490111383852;151.53952414347788;81.87192437161656;351.6604596534796
0.09;120.71236874708265;151.41460459785506;79.2256380307212;351.3526113756589
0.1;123.32731372802805;151.27616937555604;76.38757606809315;350.99105917167725
0.11;126.08303440587925;151.12445923679408;73.37920600610363;350.58669964877697
0.12;128.9664460228745;150.95971163360213;70.22394864103859;350.1501062975152
0.13;131.96212040479602;150.78216075443834;66.9470748725053;349.69135603173964
0.14;135.05229939478275;150.59203756817067;63.57552310611378;349.2198600690672
0.15;138.21699496082255;150.38956986745146;60.13764126719636;348.7442060954704
0.16;141.43417460271337;150.17498231148804;56.66286104455067;348.2720179587521
0.17;144.68002612366266;149.94849646821973;53.18131617085666;347.8098387627391
0.18;147.92929164354553;149.71033085590747;49.72342016127641;347.36304266072943
0.19;151.15565801503124;149.4607009841454;46.31942201279618;346.93578101197284
0.2;154.3322048684234;149.1998193943017;42.99896699273468;346.53099125545975
0.21;157.43984330471596;148.9278956994454;39.79414516489521;346.1618841690566
0.22;160.46467972416212;148.64513662364482;36.73922111320287;345.8490374610098
0.23;163.3841539923523;148.35174604065045;33.863909624675514;345.59980965767824
0.24;166.17051523819245;148.04792501214945;31.192861471836906;345.41130172217885
0.25;168.79773503421927;147.73387182550812;28.748010241590094;345.2796171013175
0.26;171.24182044807043;147.4097820309479;26.548439444630205;345.20004192364854
0.27;173.4810235942456;147.07584847820303;24.610341568804046;345.1672136412527
0.28;175.49595831845514;146.73226135266762;22.947071695178423;345.17529136630117
