t;G1;G2;G3
0.01;-144.8636314543955;84.1174679888974;60.746163465498014
0.02;-144.09059234823667;83.97840928267381;60.11218306556286
0.03;-143.00753252675767;83.85629178685043;59.15124073990719
0.04;-141.6235475178242;83.74969622886047;57.87385128896371
0.05;-139.947832383415;83.65704846359864;56.2907839198163
0.06;-137.9899711923327;83.57663735699352;54.41333383533918
0.07;-135.76026161304796;83.5066322995398;52.25362931350811
0.08;-133.28663988153187;83.44188596549695;49.844753916034904
0.09;-130.60308459393332;83.37658000468662;47.22650458924667
0.1;-127.72952859628212;83.30815791719796;44.42137067908412
0.11;-124.68457768782993;83.23475037893711;41.44982730889278
0.12;-121.48887963138452;83.15454732788056;38.33433230350392
0.13;-118.165070414881;83.065831598519;35.09923881636199
0.14;-114.73763984977849;82.96701171515916;31.770628134619304
0.15;-111.23271856707223;82.85665249949348;28.376066067578627
0.16;-107.67779225189784;82.7335022831669;24.94428996873088
0.17;-104.10135325156136;82.59651558829444;21.50483766326681
0.18;-100.53250346990816;82.44487024989633;18.08763322001179
0.19;-97.00052543801075;82.27797788349106;14.722547554519682
0.2;-93.53444061657117;82.09548220716273;11.43895840940839
0.21;-90.16278730818868;81.89503461980962;8.26775268837902
0.22;-86.91417793327426;81.6728570547957;5.241320878478529
0.23;-83.81643603208079;81.42772843674301;2.3887075953377988
0.24;-80.89523885295154;81.16041121420861;-0.26517236125714305
0.25;-78.17382769725265;80.87185822646326;-2.6980305292106834
0.26;-75.67282375994932;80.5631778460356;-4.890354086086347
0.27;-73.41013920391521;80.23560135856557;-6.825462154650438
0.28;-71.4009823139007;79.89045001395877;-8.489467700058086
0.29;-69.65795124125776;79.5291030779718;-9.871151836714095
0.3;-68.19120769636942;79.15296806247837;-10.961760366109
0.31;-67.00871969694217;78.76345412128222;-11.754734424340064
0.31;158.3526068374242;-64.13128999178937;-94.22131684563482
0.32;160.0737126932534;-69.43137350768028;-90.64233918557315
0.33;161.20827668472492;-74.79066442141087;-86.41761226331408
0.34;161.85179645113345;-80.1869938410428;-81.66480261009065
0.35;162.0921405488425;-85.59483780176537;-76.49730274707717
0.36;162.01012153178496;-90.98594817167924;-71.02417336010572
0.37;161.68025260697968;-96.33025394642624;-65.34999866055345
0.38;161.17157992620264;-101.59697022061107;-59.574609705591584
0.39;160.54849336754205;-106.75582259184844;-53.79267077569361
0.4;159.87144498196625;-111.77828156977432;-48.09316341219194
0.41;159.19752965359737;-116.63870107730348;-42.55882857629389
0.42;158.5809042593189;-121.31526600354626;-37.2656382557727
0.43;158.0730386541586;-125.79067382524818;-32.28236482891043
0.44;157.72280352765398;-130.05250146626034;-27.67030206139365
0.45;157.57640600223232;-134.09323728177114;-23.483168720461187
0.46;157.67718277993646;-137.90998601412136;-19.76719676581511
0.47;158.06525405484888;-141.50387919055572;-16.561374864293164
0.48;158.77705088732972;-144.8792420003001;-13.897808887029633
0.49;159.84476475323487;-148.04257835347985;-11.802186399755028
0.5;161.29574855284542;-151.00144690025093;-10.294301652594518
0.51;163.1518321432973;-153.76330560416397;-9.38852653913335
0.52;165.42849074853197;-156.33436138842993;-9.094129360102054
0.53;168.13380858505607;-158.71841220463529;-9.4153963804208
0.54;171.26721594929026;-160.91570518267082;-10.351510766619441
0.55;174.81801685967804;-162.92189008958434;-11.896126770093726
0.56;178.7637132936909;-164.72711655110672;-14.036596742584214
0.57;183.06811128403393;-166.31526528571518;-16.752845998318744
0.58;187.6792036294106;-167.66328537015903;-20.015918259251592
0.59;192.52685279898157;-168.74061553056765;-23.786237268413903
0.6;197.52033387058935;-169.5086772076596;-28.011656662929756
0.61;202.5458417055914;-169.920440090846;-32.62540161474541
0.62;207.4641218543061;-169.92008083486726;-37.544041019438836
0.63;212.1084505218381;-169.44278440784743;-42.66566611399068
0.64;216.2832518678065;-168.4147726293539;-47.86847923845263
0.65;219.76353231234728;-166.75366088762252;-53.00987142472475
0.66;222.29454590438138;-164.36921134642802;-57.92533455795338
0.67;223.59441953450053;-161.16510726430437;-62.42931227019618
0.68;223.361582987668;-157.04192831935384;-66.31965466831413
0.69;221.2849192354697;-151.9009929403907;-69.38392629507898
0.7;217.0567176051064;-145.64919565691386;-71.40752194819257
0.71;210.38904128866562;-138.20489434549125;-72.18414694317438
0.72;201.0331050030517;-129.50461079678107;-71.5284942062706
0.73;188.80059132355169;-119.51008086219841;-69.29051046135326
0.74;173.58516474213448;-108.21498290032999;-65.37018184180448
0.75;155.38185161977378;-95.65052709120863;-59.73132452856513
0.76;134.30160007962616;-81.88905407601824;-52.41254600360789
0.77;110.57838160116053;-67.0449070538367;-43.533474547323834
0.78;84.56675824153913;-51.27211481582433;-33.29464342571478
0.79;56.728917670103925;-34.7588218155782;-21.9700958545257
0.8;27.611628256262915;-17.718854263510167;-9.892773992752733
0.81;-2.1848897112703867;-0.38122483416614017;2.566114545436534
0.82;-32.042887585566035;17.021336912074908;15.021550673491124
0.83;-61.36378301495651;34.2636449629583;27.10013805199824
0.84;-89.6015992643984;51.13803004987748;38.46356921452094
0.85;-116.29329898167337;67.46430300845762;48.82899597321576
0.86;-141.0980310548132;83.10706507186553;57.990965982947664
0.87;-163.78364462751034;97.96428189371201;65.81936273379834
0.88;-184.18963992248644;111.94290597326302;72.24673394922345
0.89;-202.2441288225752;124.97614106946567;77.26798775310957
0.9;-217.9681399867871;137.0391675664863;80.92897242030077
0.91;-231.45578078806346;148.13840368155437;83.3173771065091
0.92;-242.84940813856758;158.29712590661256;84.55228223195505
0.93;-252.32385691298296;167.5510587812;84.77279813178296
0.94;-260.0721262464393;175.9442993326022;84.12782691383711
0.95;-266.2931083173935;183.52569975910694;82.76740855828655
0.96;-271.18161283303675;190.3457609664145;80.83585186662222
0.97;-274.9206820994185;196.4540272663537;78.46665483306482
0.98;-277.67601754603396;201.89693119848872;75.77908634754529
0.99;-279.59223832281896;206.7160151352998;72.87622318751916
1.0;-280.79065070779836;210.94644987989096;69.8442008279074
1.01;-281.3682076073753;214.61577633993988;66.75243126743543
1.02;-281.39736625231893;217.7428115967113;63.65455465560763
1.03;-280.92659797189384;220.33668292577119;60.58991504612268
1.04;-279.98135833907156;222.39597939383918;57.58537894523239
1.05;-278.5653831515244;223.9080368602536;54.657346291270784
1.06;-276.6622313405226;224.84839784270832;51.813833497814365
1.07;-274.2370465817503;225.1805141016174;49.0565324801329
1.08;-271.2385523533478;224.85578545649446;46.38276689685336
1.09;-267.60132855040797;223.8140495423081;43.7872790080998
1.1;-263.24844079523183;221.98465101967804;41.263789775553754
1.11;-258.0945055077373;219.28822254465382;38.806282963083476
1.12;-252.04927119816767;215.63930003503594;36.40997116313172
1.13;-245.02177038381404;210.94987451514555;34.07189586866849
1.14;-236.92492905169206;205.13423244212993;31.790696609562175
1.15;-227.68008390557375;198.11580494956902;29.56427895600472
