t;G1;G2;G3;COI
0.01;25.348310941288986;23.382056040613193;30.109868207380188;25.40120824859941
0.02;25.408919002672114;23.70270361524298;30.525105050542237;25.544469427015315
0.03;25.51033154200616;24.237083579223064;31.215466706799518;25.783362400832672
0.04;25.653078094978216;24.985141774820775;32.17820585553286;26.118005239010348
0.05;25.837759839509182;25.946802903861666;33.40958626515688;26.548473096787717
0.06;26.06504864276775;27.121970895598622;34.904917771645565;27.07480079090814
0.07;26.33568614446628;28.510529269533667;36.65859304405544;27.69698556256597
0.08;26.650482281715497;30.11234149325915;38.664142946163544;28.414991133572325
0.09;27.01031241833015;31.927251335385527;40.91433147270673;29.228754367583647
0.1;27.416113468239985;33.95508321362296;43.4012639351728;30.138192417587003
0.11;27.868879939844295;36.19564253808235;46.116470481157016;31.143207569438093
0.12;28.369659720004147;38.64871604986028;49.050973491467936;32.24369042993411
0.13;28.919549085841428;41.314072154971626;52.19535753196554;33.43952279432151
0.14;29.519686832347013;44.191461253692545;55.539844777897606;34.73058037887406
0.15;30.171247521189187;47.280616065375696;59.074375367780576;36.11673537296026
0.16;30.875433888703366;50.58125194879868;62.78869192113258;37.597858768044425
0.17;31.633468483084734;54.093067218105894;66.67242725486216;39.1738224258135
0.18;32.44658463062174;57.815743454403055;70.7151941684862;40.84450085395525
0.19;33.31601685691073;61.74894581306293;74.90667604943229;42.60977266595352
0.2;34.24299091180415;65.89232332679993;79.23671699023036;44.46952171216832
0.21;35.22871432371393;70.2455092045704;83.69541270764556;46.42363866178097
0.22;36.274368881359514;74.80812112635488;88.27320629100119;48.47202440241828
0.23;37.381104024989334;79.57976153387737;92.96098562794032;50.61459424228937
0.24;38.55002858831549;84.56001791731629;97.75017186824414;52.8512801156435
0.25;39.78220089144167;89.7484630980607;102.63279488473492;55.18203042373137
0.26;41.078618861358855;95.14465550756496;107.60155875609266;57.606808985984216
0.27;42.44021091752485;100.74813946235425;112.64989879657814;60.12559376783828
0.28;43.86782770331821;106.55844543523202;117.77203001218805;62.73837543203067
0.29;45.36223470784461;112.5750903227409;122.96298713799204;65.44515575928425
0.3;46.9241057877921;118.79757770892655;128.21865666970052;68.24594598294506
0.31;48.55401756581163;125.22539812545443;133.5358015305083;71.14076507913845
0.31;50.30515752860948;131.69236108033263;138.6280504278675;74.10939384805866
0.32;52.10020449723172;138.12596834358953;143.59571213919608;77.09162254924392
0.33;53.9837277278421;144.4895072416322;148.32042326680497;80.10144156931064
0.34;55.956909055903935;150.77618987097932;152.8154687334537;83.13959171387391
0.35;58.02066172103657;156.97909649831382;157.0956347177152;86.20673286459413
0.36;60.175663049008215;163.0912104067078;161.17686882474703;89.3034431541293
0.37;62.4223854230509;169.1054574357941;165.07595423243424;92.43021909923247
0.38;64.76112533963189;175.01474848782703;168.8101977965266;95.58747620933545
0.39;67.19203045855423;180.81202307482738;172.39713254797377;98.775549672875
0.4;69.71512463478282;186.49029190752185;175.85423547880066;101.9946948068259
0.41;72.33033096724868;192.04267659348255;179.19866188013174;105.24508703549907
0.42;75.03749292405325;197.46244471747772;182.44699768762513;108.52682123922023
0.43;77.83639360924596;202.7430389041277;185.61503126939834;111.83991037911895
0.44;80.72677322819193;207.87809888248762;188.7175458647727;115.18428335901193
0.45;83.70834479033202;212.86147604805092;191.76813348922397;118.55978212870014
0.46;86.78080806345886;217.68724051214608;194.77903062998016;121.9661580663886
0.47;89.94386176636569;222.34968110751896;197.76097555574086;125.40306770553062
0.48;93.19721395857674;226.8432992505457;200.72308663032186;128.870067895356
0.49;96.54059054942877;231.16279790752967;203.6727606596024;132.36661049265024
0.5;99.97374179311433;235.3030671401431;206.615589988832;135.89203665817016
0.51;103.49644656743355;239.25916781263734;209.55529689547615;139.4455707870013
0.52;107.10851416929813;243.026315072296;212.49368394229197;143.02631407235106
0.53;110.80978330166333;246.59986322202354;215.43059936792517;146.6332376995379
0.54;114.60011786517171;249.97529361500483;218.36391719542834;150.26517568008867
0.55;118.4793991022398;253.14820717621788;221.289532494036;153.92081735285302
0.56;122.4475135776264;256.1143230494699;224.20137314311404;157.59869959614124
0.57;126.50433642192436;258.869484708741;227.0914304790841;161.2971988167104
0.58;130.64970921641424;261.4096747247188;229.94981227249417;165.01452281556553
0.59;134.8834118666491;263.731039277427;232.7648225015269;168.7487026817765
0.6;139.20512780993377;265.8299234546791;235.52307328750135;172.49758493592012
0.61;143.61440194395632;267.70291836175664;238.20963505870847;176.2588242359178
0.62;148.1105907687744;269.3469210720668;240.8082314194721;180.02987707133636
0.63;152.6928044234776;270.75920844313805;243.30148521799916;183.80799700796587
0.64;157.3598405945437;271.9375257662102;245.6712218253634;187.59023220130416
0.65;162.11011068756497;272.8801910747672;247.89883468744043;191.37342607993168
0.66;166.94155915004595;273.58621574519987;249.96571755572973;195.15422235761312
0.67;171.85157749544382;274.0554415286567;251.85376649471135;198.92907579197512
0.68;176.83691562581183;274.2886928780146;253.5459492991707;202.6942701120723
0.69;181.89359431039028;274.28794173039284;255.02693153734674;206.44594434189273
0.7;187.01682377501245;274.056480379604;256.2837414754877;210.18012860248047
0.71;192.20093427447296;273.59909649926766;257.3064500837323;213.892790275216
0.72;197.43932526996977;272.9222425501116;258.0888353415713;217.57989095555007
0.73;202.72444020417154;272.03419002907464;258.6289931094996;221.23745391444137
0.74;208.04777361845674;270.9451576768283;258.92985150496094;224.86164086238887
0.75;213.39991630935086;269.66740219755167;258.99954343347576;228.44883574439177
0.76;218.77064227621926;268.2152605599031;258.851594041268;231.9957321953834
0.77;224.14903840458877;266.6051347296714;258.50488738928516;235.49942030850602
0.78;229.52367436316916;264.8554127423429;257.9833899003684;238.95746768824276
0.79;234.88280644458698;262.98632414744515;257.3156263751296;242.36798953957117
0.8;240.2146055564647;261.0197326201228;256.5339257401482;245.72970289263114
0.81;245.50739681739765;258.9788733559743;255.673475361753;249.04196100091963
0.82;250.74989670076914;256.8880471069264;254.77124145515236;252.30476539396435
0.83;255.9314336768204;254.77228581512196;253.86482582795085;255.51875482840993
