t;G1;G2;G3
0.01;-0.052897307310423795;-2.0191522079862168;4.708659958780781
0.02;-0.1355504243432003;-1.8417658117723328;4.980635623526922
0.03;-0.27303085882651257;-1.5462788216096082;5.432104305966846
0.04;-0.4649271440321317;-1.1328634641895743;6.060200616522511
0.05;-0.7107132572785366;-0.6016701929260521;6.861113168369164
0.06;-1.00975214814039;0.04717010469048531;7.830116980737423
0.07;-1.3612994180996894;0.8135437069676984;8.961607481489471
0.08;-1.7645088518568273;1.6973503596868276;10.249151812591224
0.09;-2.2184419492534984;2.6984969678018795;11.685577105123079
0.1;-2.7220789493470186;3.816890796035959;13.263071517585793
0.11;-3.2743276295937993;5.052434968644262;14.97326291171892
0.12;-3.874030709929967;6.405025619926168;16.80728306153382
0.13;-4.519973708480088;7.87454936065011;18.755834737644026
0.14;-5.210893546527046;9.460880874818482;20.809264399023547
0.15;-5.9454878517710705;11.163880692415434;22.95763999482032
0.16;-6.722424879341063;12.98339318075425;25.190833153088153
0.17;-7.540353942728765;14.919244792292393;27.498604829048652
0.18;-8.397916223333514;16.9712426004478;29.870693314530946
0.19;-9.293755809042791;19.13917314710941;32.29690338347877
0.2;-10.226530800364175;21.422801614631606;34.76719527806205
0.21;-11.194924338067043;23.821870542789426;37.27177404586458
0.22;-12.19765552105876;26.336096723936603;39.80118188858291
0.23;-13.233490217300037;28.965167291587996;42.34639138565094
0.24;-14.301251527328008;31.708737801672793;44.89889175260065
0.25;-15.3998295322897;34.56643267432932;47.450764461003544
0.26;-16.52819012462536;37.53784652158074;49.994749770108434
0.27;-17.685382850313427;40.62254569451596;52.52430502873986
0.28;-18.87054772871246;43.82007000320135;55.03365458015738
0.29;-20.082921051439648;47.12993456345665;57.51783137870779
0.3;-21.32184019515295;50.5516317259815;59.972710686755455
0.31;-22.58674751332682;54.08463304631598;62.395036451369855
0.31;-23.80423631944918;57.58296723227398;64.51865657980882
0.32;-24.991418052012197;61.03434579434562;66.50408958995216
0.33;-26.11771384146854;64.38806567232155;68.21898169749431
0.34;-27.182682657969973;67.63659815710542;69.67587701957981
0.35;-28.18607114355757;70.77236363371969;70.88890185312107
0.36;-29.12778010512108;73.78776725257852;71.87342567061775
0.37;-30.007833676181573;76.67523833656163;72.64573513320177
0.38;-30.826350869703553;79.42727227849159;73.22272158719116
0.39;-31.583519214320777;82.03647340195239;73.62158287509877
0.4;-32.27957017204308;84.49559710069595;73.85954067197476
0.41;-32.914756068250384;86.79758955798349;73.95357484463267
0.42;-33.48932831516697;88.9356234782575;73.92017644840492
0.43;-34.003516769873;90.90312852500874;73.7751208902794
0.44;-34.45751013082;92.69381552347569;73.53326250576076
0.45;-34.85143733836811;94.3016939193508;73.20835136052384
0.46;-35.18535000292973;95.72108244575746;72.81287256359155
0.47;-35.45920593916493;96.94661340198834;72.35790785021025
0.48;-35.672853936779255;97.97323135518971;71.85301873496587
0.49;-35.826019943221446;98.79618741487944;71.30615016695218
0.5;-35.91829486505583;99.41103048197294;70.72355333066184
0.51;-35.94912421956772;99.81359702563606;70.10972610847487
0.52;-35.91779990305291;100.00000099994496;69.46736986994092
