t;G1;G2;G3
0.01;252.6566627933427;260.7256782506543;189.86476854594616
0.02;251.6753554127569;258.4064078686104;188.52121858749834
0.03;250.8833370615267;256.82681860407024;187.4870728754091
0.04;250.28401708435507;255.95591473362896;186.7516577823468
0.05;249.88219711497354;255.6093187098488;186.30491925304474
0.06;249.6839145755576;255.52476387174866;186.13738499653167
0.07;249.696282261168;255.60083346259123;186.24006488721946
0.08;249.93606079161523;255.81986702149533;186.52158616731717
0.09;250.4219578129761;256.16611468689075;186.87382228358524
0.1;251.16384042769852;256.62552538071844;187.27239898742602
0.11;252.1698106120997;257.18556381524525;187.71046618390838
0.12;253.44778104120184;257.83504709809876;188.18175033034655
0.13;255.00522896119256;258.56399884879465;188.68055305547665
0.14;256.84895615060316;259.3635189613082;189.20174899781023
0.15;258.98486340387376;260.2256673448492;189.7407785035932
0.16;261.41774755034396;261.14336015178844;190.29363466432682
0.17;264.15112822525134;262.11027715981976;190.856844565734
0.18;267.18710957463765;263.120779116898;191.42744503031543
0.19;270.52627542273433;264.1698339840167;192.00295363713153
0.2;274.16753784018846;265.2529511240414;192.58133826536366
0.21;278.0716675176796;266.3661225860353;193.16201275072567
0.22;282.1691169932266;267.5057707249709;193.74564708543943
0.23;286.42535580388386;268.66870147765906;194.33227809829995
0.24;290.83322103993214;269.8520626881356;194.92142930895068
0.25;295.38437613875993;271.0533069403864;195.51287973264746
0.26;300.06946018000457;272.2701584141246;196.1066307738452
0.27;304.8783167155458;273.5005833310545;196.70287622111582
0.28;309.80022608685624;274.7427636052645;197.30197781579938
0.29;314.82413145952376;275.9950733527021;197.9044467027464
0.3;319.93884999382044;277.25605795159703;198.51093080654877
0.31;325.13326192820955;278.5244153787205;199.1222079614862
0.31;204.64072147007263;109.2695389087014;112.76727883565138
0.32;214.35198680768295;114.29763059288864;118.23841977239842
0.33;223.63213233413663;119.20750247864046;123.58988015072647
0.34;232.46075722027823;124.00048457765023;128.79427144830714
0.35;240.8257557944986;128.67919846655047;133.8285949789283
0.36;248.7217980508721;133.24618961509023;138.67363201420994
0.37;256.148936446123;137.70273894495983;143.313359466454
0.38;263.11137639145727;142.04790381004025;147.73440461321655
0.39;269.61639341433397;146.27781630399895;151.92554905218003
0.4;275.67337278220356;150.38524763578064;155.87728414732837
0.41;281.29294712258684;154.35942947828744;159.58141361000372
0.42;286.48620953197445;158.18610727360547;163.03069442780787
0.43;291.2639821914714;161.84778765404718;166.21850517739568
0.44;295.6361216433354;165.32413338577638;169.13853068136495
0.45;299.6108375589281;168.5924549391308;171.7844537567472
0.46;303.19398283427097;171.62824753712337;174.14964825695802
0.47;306.3882413142919;174.40572602689645;176.22687214051297
0.48;309.1922211604656;176.89832235971724;178.00796113125102
0.49;311.5997249796712;179.07913770832224;179.48352156475596
0.5;313.59938875643815;180.9213636503948;180.64262812746867
0.51;315.1745077131734;182.39868083455653;181.4725447211185
0.52;316.30287022261416;183.48559162276473;181.95849261718092
0.53;316.95660438080716;184.15760169324003;182.08349253785562
0.54;317.10209772765506;184.39125038564353;181.82830362824257
0.55;316.7000543745034;184.1640977489583;181.1714793388424
0.56;315.70575075854276;183.4547520317525;180.08956826922608
0.57;314.06955150498374;182.2429545971448;178.55749812635187
0.58;311.7377541190677;180.50972914015819;176.54918552374136
0.59;308.6538412727849;178.2376221604037;174.0384157990176
0.6;304.76022770882213;175.41107863699617;171.0000370117508
0.61;300.0005922232714;172.0170067871875;167.41150923399005
0.62;294.3228805226451;168.04559109082317;163.25484121064446
0.63;287.6830478064248;163.49141377827732;158.51892632747968
0.64;280.0495771658457;158.35494532515543;153.20223857723363
0.65;271.4087819610215;152.64454979990268;147.3155313866899
0.66;261.7709846570602;146.37958860736987;140.8829359427203
0.67;251.1771306679007;139.59340700539292;133.9444322216854
0.68;239.70510852682878;132.33533573954702;126.5611006553026
0.69;227.47546545574542;124.6728477747171;118.8190374918034
0.7;214.65584757931882;116.69367847168033;110.83121683695252
0.71;201.46318424613625;108.5071611407308;102.7377110097824
0.72;188.1626364247464;100.24427104686183;94.70390360857563
0.73;175.06242044200184;92.05592156721893;86.91633502845224
0.74;162.50389587035977;84.10916746846458;79.57600349693676
0.75;150.8467973757361;76.58117819794914;72.88923833441423
0.76;140.45016829740516;69.65114180450533;67.05662801971093
0.77;131.6503278570775;63.49060979780718;62.260863345672725
0.78;124.73792316182171;58.2531297878034;58.65466441394746
0.79;119.93659930118984;54.06425619265698;56.350115366874356
0.8;117.385904098778;51.01310673823471;55.410671208707555
0.81;117.13064639748991;49.14650296686814;55.84681229468307
0.82;119.11808777579205;48.46640593201022;57.61584802847363
0.83;123.20323172242504;48.93089590473061;60.62580629063409
0.84;129.16133479449186;50.45844460446992;64.74280506920465
0.85;136.71353949878932;52.93336814555876;69.79888711481549
0.86;145.58780786692716;56.20793208795294;75.59416023741016
0.87;155.48468049500218;60.12375602053244;81.9251300487647
0.88;166.0495579914668;64.5495244403762;88.59202309647439
0.89;176.94020635897485;69.37503869265666;95.39581189237532
0.9;187.84946126629362;74.47276233673728;102.16554478277841
0.91;198.5111935950198;79.70544589359879;108.75980510072752
0.92;208.69946703021097;84.94991817915728;115.05849052987436
0.93;218.22948493179956;90.09819534761691;120.96320482631488
0.94;226.95609240273274;95.05746926275116;126.39642204910521
0.95;234.7705430129866;99.74929859292202;131.29975177992878
0.96;241.5961884482976;104.1082832389859;135.63162448077307
0.97;247.38364707585424;108.08046485818967;139.36467380268027
0.98;252.10588844787912;111.62164798583454;142.4830419149774
0.99;255.75355443747316;114.6957871442437;144.97978262912346
1.0;258.3307353077611;117.27354149702205;146.8544900521038
1.01;259.8513355440511;119.33106303803865;148.11124057911516
1.02;260.3361002765094;120.84905727855629;148.75690555927054
1.03;259.8103266426318;121.81213567330711;148.79987207494165
1.04;258.302253155464;122.20846609852613;148.2491955926259
1.05;255.8421016465537;122.02972142400293;147.114193159349
1.06;252.46173621257685;121.27132320503733;145.40447008935274
1.07;248.19489584917918;119.93297266383256;143.130362854493
1.08;243.0779475948781;118.01945255309522;140.30377414888903
1.09;237.15109316309474;115.54167136611406;136.9393659181989
1.1;230.45994486040365;112.51790498092413;133.0560595753505
1.11;223.05736751130632;108.97516905531208;128.6787703972393
1.12;215.00546040475874;104.9506271681754;123.84027930101847
1.13;206.3775162731614;100.49289517057676;118.5831505150265
1.14;197.25950463842247;95.66269476552134;112.96253721456095
1.15;187.7500783315187;90.53158745753692;107.05232307274738
1.16;177.96239922205288;85.1837847445783;100.94100551213681
1.17;168.0256504481227;79.71776413222611;94.72580266331478
1.18;158.08302131426998;74.24338278027629;88.51505149503403
1.19;148.28913459422972;68.87902922063816;82.42673107797259
1.2;138.80641471985922;63.74809734471392;76.58505666265425
1.21;129.80026501377137;58.97459410268057;71.11603017766804
1.22;121.43326604102316;54.678106354073904;66.14220752442434
1.23;113.8587574308856;50.968470904601574;61.777049891860955
1.24;107.214284126249;47.94057152227031;58.119321455185336
1.25;101.6154555444637;45.66971676517333;55.248037503060665
1.26;97.15076447569783;44.208021755146746;53.21844104476682
1.27;93.87783561036672;43.58212581351164;52.05939100657003
1.28;91.82143017187296;43.79243877335065;51.7723941480622
