t;G1;G2;G3
0.01;87.41847057421012;3.817574548750559e-6;42.52760081218535
0.02;86.19425441044027;3.780336249288532e-6;43.01022963945068
0.03;84.7766438709539;3.752602554501511e-6;43.812883841550295
0.04;83.1686309623398;3.7334154343430534e-6;44.923686531504025
0.05;81.37274727684657;3.72052191929056e-6;46.330616656129635
0.06;79.39142012058751;3.7107960858013933e-6;48.0212579329014
0.07;77.22736188606831;3.702907691134093e-6;49.98251206523223
0.08;74.88867632263616;3.6962766491863332e-6;52.17922351374198
0.09;72.38703316299893;3.690297355936608e-6;54.56959249527322
0.1;69.73211598034668;3.6845477160522563e-6;57.13070373843332
0.11;66.93482460493723;3.6786482629602683e-6;59.84214686279623
0.12;64.00832017550643;3.672226456353754e-6;62.68176508204536
0.13;60.968092266919484;3.6649160389759223e-6;65.62574760663082
0.14;57.831942069091625;3.6563576209685532e-6;68.64879557314148
0.15;54.61987885504676;3.646198852604065e-6;71.72435745296333
0.16;51.35393127271198;3.634095144017748e-6;74.82492667241367
0.17;48.057879563448374;3.619710591099734e-6;77.92239036787878
0.18;44.756918996643044;3.6027192358955064e-6;80.98841493610006
0.19;41.47726751736514;3.582806725547536e-6;83.99485125580547
0.2;38.245716606620256;3.5596721009183603e-6;86.91413419213339
0.21;35.08123672722528;3.5329825723724723e-6;89.71627753762644
0.22;31.997608493462327;3.5024002705194756e-6;92.36911490088512
0.23;29.01720516925514;3.467675525726821e-6;94.84483313555586
0.24;26.167524665955387;3.428631174460309e-6;97.12044544231881
0.25;23.474314444560175;3.385127738191986e-6;99.1754847626998
0.26;20.96126249269423;3.337068965122823e-6;100.99212149307361
0.27;18.649792100860818;3.2844078035148045e-6;102.55519692064694
0.28;16.558949667594398;3.227152921943314e-6;103.85216963209689
0.29;14.705384728010015;3.165375650524589e-6;104.87298171271509
0.3;13.103417694951528;3.0992171558429905e-6;105.60985423622573
0.31;11.765187863339577;3.0286828918580564e-6;106.05702335883731
0.31;-36.55661376034563;183.75912146930315;208.01964851295756
0.32;-40.48004727990971;188.03218835859207;204.3001936731228
0.33;-43.618141431781474;192.43745200220042;199.97471675676016
0.34;-46.0608168591965;196.95606559032174;195.15424280606578
0.35;-47.894200142214316;201.5648809273198;189.94634703603987
0.36;-49.19970679773268;206.23742133757318;184.4551767663752
0.37;-50.053543633215845;210.94505588066878;178.7813406273893
0.38;-50.52650627335116;215.65832063339067;173.02162908088243
0.39;-50.683976383996246;220.34829949135167;167.26856691524773
0.4;-50.586040857780425;224.98796606703428;161.6098379978421
0.41;-50.28767112702985;229.55338963008197;156.12764913163707
0.42;-49.83891481519162;234.02471974215268;150.89811136341277
0.43;-49.285063848673836;238.38688409423088;145.99071429751547
0.44;-48.66677309314998;242.62995898449043;141.46795413075625
0.45;-48.02011245854323;246.74919817775037;137.3851520222555
0.46;-47.37654552923881;250.7447295392839;133.79046806066663
0.47;-46.762839178274334;254.62094770010276;130.72508171301752
0.48;-46.20089360650173;258.3856555962468;128.22350258976053
0.49;-45.707424651682274;262.0490434847437;126.31401134141498
0.5;-45.29344816588528;265.622595679563;125.01919530443013
0.51;-44.963600747973715;269.1179804717154;124.35645419273158
0.52;-44.71532372752431;272.5459344265538;124.33836487257257
0.53;-44.537889913560086;275.91511804870584;124.97285311927388
0.54;-44.41125820292902;279.2309633764759;126.26312366648278
0.55;-44.30476579197126;282.4945926792337;128.20728491257378
0.56;-44.17567484027881;285.70185315349454;130.79762122436495
0.57;-43.967594889136976;288.8424489291986;134.01949855539254
0.58;-43.60882169414036;291.8991308198736;137.8499138772852
0.59;-43.01066440237469;294.8469089090867;142.25571954940332
0.6;-42.065872006543465;297.6522613445565;147.19157784448132
0.61;-40.64731674289671;300.2723242741568;152.59773002349476
0.62;-38.60714636057948;302.65406744669116;158.39769838080775
0.63;-35.77667588676491;304.73349015699097;164.49607745691424
0.64;-31.967341493209684;306.43491029176795;170.77660155515147
0.65;-26.972996512338405;307.67041928958844;177.10054833751286
0.66;-20.573471288688335;308.33943732495925;183.30476771594937
0.67;-12.540943147557032;308.3293044484827;189.20156729859463
0.68;-2.6499989792786187;307.51735606159207;194.5822586882959
0.69;9.30978749487023;305.7739318287422;199.22258373974995
0.7;23.51898622568721;302.9665475409615;202.8900817305257
0.71;40.1113781465715;298.9655352995181;205.35413541729378
0.72;59.15596367195438;293.651108217787;206.39869456894658
0.73;80.63948553953924;286.92155193733157;205.83721508948193
0.74;104.45151757580444;278.7019793447249;203.52883515959243
0.75;130.37444816008318;268.95283984683886;199.3942713073812
0.76;158.0806255257672;257.6772072924335;193.4294729428188
0.77;187.13842770849323;244.92583816760333;185.7148732695982
0.78;217.0280551092058;230.79913234560485;176.418255690859
0.79;247.16652451544942;215.44544511962528;165.78988755828047
0.8;276.939902897101;199.05564987994018;154.14960896116798
0.81;305.73957066998696;181.8543546611395;141.8668205658593
0.82;332.99855311495696;164.08863182738475;129.33551026888733
0.83;358.2239041434106;146.01543512332074;116.94729748088055
0.84;381.021800228006;127.88899281862136;105.06574441090501
0.85;401.1227456865991;109.94898447449519;94.00424723669813
0.86;418.43729052941904;92.40737428885633;84.00546186047177
0.87;432.9822399386471;75.44233245986894;75.23491518058843
0.88;444.81759175621045;59.214865791372496;67.79008352692568
0.89;454.09185238341274;43.85911305621419;61.7046647802745
0.9;461.01415025243256;29.45723509348704;56.95620047900075
0.91;465.8333414623325;16.049786931316284;53.47546589615965
0.92;468.8240151517511;3.6531372201687633;51.15874713340768
0.93;470.27074981471867;-7.736089236678537;49.879571504318044
0.94;470.45506720271345;-18.13650657510084;49.49936729380479
0.95;469.64525675803026;-27.5776594317406;49.876530151461466
0.96;468.0889477127792;-36.09608625627861;50.87365850349575
0.97;466.0081204437672;-43.73184328719113;52.3629374187562
0.98;463.59615181448373;-50.525511317033924;54.22979720030977
0.99;461.0164597145376;-56.51566180573088;56.37505888972802
1.0;458.402328704133;-61.73673318525693;58.71581749143962
1.01;455.85754385812754;-66.21725932648808;61.18531909213737
1.02;453.45752060355784;-69.97839669691962;63.73207280926643
1.03;451.250685851091;-73.03271145358747;66.3184127275554
1.04;449.25993333444234;-75.38320876687669;68.91869440087022
1.05;447.4840387978781;-77.02260996952255;71.51727748553989
1.06;445.898977922789;-77.93290683606186;74.10641456855143
1.07;444.4591432302134;-78.08524632627274;76.684141350285
1.08;443.09850432020824;-77.44022159089859;79.252246214825
1.09;441.73179658386107;-75.94866241002843;81.81438582346443
1.1;440.2558579392416;-73.55302737120748;84.37440560429806
1.11;438.5512630572079;-70.1894980241788;86.93491830112629
1.12;436.48442801462187;-65.79085852745496;89.49619009997623
1.13;433.9103757735046;-60.29021392801487;92.05539515806423
1.14;430.6766200343061;-53.625730090744874;94.60676153469858
1.15;426.62897475663567;-45.74673086606544;97.14401557856091
1.16;421.61531415971876;-36.61816729021315;99.65859776474767
1.17;415.49017785087347;-26.225292401693185;102.13735702970585
1.18;408.1228292385338;-14.580017200872883;104.56504875185769
1.19;399.4048020489675;-1.7258946141374718;106.92574754659299
1.2;389.2571043879351;12.258372135789322;109.20392591200894
1.21;377.63673391147614;27.25726224911878;111.38545714112291
1.22;364.54188032654486;43.119026293290744;113.45844085468511
1.23;350.0152139055903;59.65876352975697;115.41376276667201
1.24;334.1447776939025;76.66397008068643;117.24533833738964
1.25;317.06220537200846;93.90226161787847;118.9500372384095
1.26;298.93825200028147;111.1307113188465;120.5273334521764
1.27;279.9759113794841;128.10604322275668;121.97876513109908
1.28;260.4016543233392;144.5948197681974;123.30731138379696
1.29;240.45551302610016;160.38277818775612;124.51679589089906
1.3;220.38082803509934;175.2825981148733;125.61141028998082
1.31;200.4144566428633;189.13959526425455;126.59541855926068
1.32;180.7781265799315;201.83509247166435;127.47306491929606
1.33;161.67143499447315;213.28747536821498;128.24867041438284
1.34;143.26677632125546;223.45115773254335;128.9268742109046
1.35;125.70626950537758;232.31383665559355;129.51295883822013
1.36;109.1005731150712;239.89250124433877;130.01319519302348
1.37;93.52934234669725;246.22867596344597;130.4351527957901
1.38;79.04299610574486;251.38334811703277;130.7879508308628
1.39;65.66538202405306;255.431996020128;131.08257811694375
1.4;53.3967993103213;258.4601506220419;131.3327151571216
1.41;42.21741693803075;260.559510177231;131.55484835716095
1.42;32.09110570680656;261.82483089749627;131.7670559992827
1.43;22.96918500392216;262.35140270211684;131.98799861962317
1.44;14.794116161256559;262.23226383033574;132.23659284333857
1.45;7.503067972167162;261.55589472439146;132.53198804024083
1.46;1.0306621466388721;260.40489300716035;132.89339438701015
1.47;-4.689213342412235;258.8551273794772;133.33961144449412
1.48;-9.72191163132644;256.97534921766845;133.88852199419526
1.49;-14.130676165004722;254.82722921447765;134.55669137702003
1.5;-17.975549113637808;252.46567999715498;135.3590284701781
1.51;-21.31254754292155;249.93936655850263;136.30848734934702
1.52;-24.193070198009302;247.29133224845162;137.41580292999765
1.53;-26.66348804882343;244.55968262780843;138.68925710072696
1.54;-28.764872557873066;241.77828033428762;140.13447220891393
1.55;-30.532819955255825;238.97741321530748;141.7542283624127
1.56;-31.99733544330053;236.18440587219257;143.54830034356172
1.57;-33.18274734772206;233.4241516644732;145.51330909918025
1.58;-34.1076274129705;230.71954830610656;147.64258183473908
1.59;-34.78469957454155;228.09182558733613;149.9260138116094
1.6;-35.22072564127073;225.56075858697585;152.3499242052875
1.61;-35.41636249066245;223.14476407540775;154.89689808897512
