t;G1;G2;G3
0.01;0.0006972060467692263;0.0008683249710132206;0.0009628554539220611
0.02;0.002781388117434079;0.0034704295362376755;0.0038313502555735565
0.03;0.006225828116573562;0.007798232655916148;0.008530099558438545
0.04;0.01099229149128057;0.013845003467882342;0.014944448850007813
0.05;0.017031683542128133;0.021605203006230714;0.022923735465266836
0.06;0.02428476685966085;0.03107430835763511;0.032285045588063416
0.07;0.03268295498204684;0.04224862244638137;0.04281746669944202
0.08;0.04214981709023273;0.05512480742537048;0.05428918378396054
0.09;0.05260331654698966;0.06969915677512507;0.06645723630722251
0.1;0.06395719491637133;0.08596729936241748;0.07907369884416245
0.11;0.07612173463084936;0.10392421709566577;0.09188931851558099
0.12;0.08900496808248426;0.12356411120876759;0.10465864966084375
0.13;0.10251406006304756;0.14488023563378674;0.11714552996031252
0.14;0.11655672640122401;0.16786474984890423;0.12912831206199174
0.15;0.13104265711536467;0.19250859554855712;0.1404046827729398
0.16;0.1458849092869737;0.2188014008070852;0.15079590663874987
0.17;0.16100123370036795;0.24673141452307568;0.16015034618331966
0.18;0.1763153003167301;0.27628547285640126;0.1683461369634422
0.19;0.19175779087062148;0.30744899809665693;0.17529293056990886
0.2;0.2072673321334615;0.34020602801752614;0.18093266151367404
0.21;0.22279126861962242;0.3745387970955787;0.18523987319827032
0.22;0.23828635362824696;0.41042683973502436;0.18822176444042354
0.23;0.2537193135390615;0.44784695623648835;0.18991648097103817
0.24;0.2690671066267654;0.4867740839436766;0.19038949351322404
0.25;0.2843169015739559;0.5271818408083522;0.18972960925566185
0.26;0.2994658794082131;0.5690427165740489;0.18804495297341253
0.27;0.31452089059165694;0.6123282661763519;0.18545874114138433
0.28;0.32949800205465674;0.6570093008066885;0.1821050462717961
0.29;0.34442197109991946;0.7030560719193835;0.17812473345928043
0.3;0.35932568332836123;0.7504384443367602;0.1736617271499789
0.31;0.37424959037967714;0.7991260556076748;0.16885973727569348
0.31;0.3397678550487007;0.7594644061254079;0.13162095096311263
0.32;0.30677852207112055;0.7192367211710087;0.09959115678114935
0.33;0.27520040628849646;0.6770276510131245;0.07309368036302048
0.34;0.24517647549728885;0.6330933541453112;0.051724001301600035
0.35;0.21681124343975228;0.5877276266229551;0.03498153238384611
0.36;0.1901766459826905;0.5412615216524582;0.022307090387075495
0.37;0.16531749648693222;0.4940616998005568;0.013115919204957725
0.38;0.1422564806377789;0.44652744478492573;0.006825769440901035
0.39;0.1209986971329713;0.3990863988909953;0.0028797702867241915
0.4;0.10153577971945422;0.3521891929280179;0.0007640360352457485
0.41;0.08384965045060169;0.3063032502252664;2.014310466142348e-5
0.42;0.06791595774701498;0.26190611858610996;0.00025279629435352664
0.43;0.053707249621672004;0.21947871923605172;0.0011331686786447846
0.44;0.041195925316158975;0.17949889423550627;0.0023985372001031763
0.45;0.030356999813473857;0.14243558605605577;0.0038489348485684876
0.46;0.021170706622478108;0.10874390251736356;0.005341593003735091
0.47;0.013624955313802376;0.07886121793586;0.0067839521373114515
0.48;0.007717650745680677;0.05320434964584948;0.008125980334321081
0.49;0.003458870126785077;0.032167740219826574;0.009352468545131101
0.5;0.0008728842116806875;0.016122479360700284;0.010475879740668255
0.51;5.917349561912167e-10;0.005415923477476059;0.011530220553931811
0.52;0.0008981953734677482;0.0003716219562719282;0.012566287208614869
0.53;0.0036444799956943303;0.001289232016986853;0.01364852521622919
0.54;0.00833592175592552;0.00844408504915272;0.014853636640987017
0.55;0.01509020203058881;0.022086059392077438;0.016270962864880657
0.56;0.024045557524806905;0.04243743135040632;0.018004558692590416
0.57;0.035359906650077315;0.06968941359256262;0.020176749674782984
0.58;0.04920891463829069;0.10399713266630628;0.022932820342751774
0.59;0.06578269977777941;0.14547283879629824;0.026446308748542126
0.6;0.08528083478683784;0.1941771837996392;0.030924179906710588
0.61;0.10790526017137651;0.25010845247070645;0.03661092372072128
0.62;0.1338507122724229;0.3131896976073668;0.04379038947182467
0.63;0.16329229353642769;0.38325382143601294;0.052783960858644785
0.64;0.19636989544237876;0.46002678253807294;0.06394353957277359
0.65;0.23316933136308254;0.5431092991982935;0.0776377809816695
0.66;0.27370017758194604;0.6319576589473719;0.09423004473331549
0.67;0.317870752804594;0.725864684391817;0.11404700949103248
0.68;0.36546157053808787;0.823942510727492;0.13733826177508224
0.69;0.41609930259491723;0.925109234329914;0.16422863984043226
0.7;0.46923378767888424;1.0280817926582904;0.1946665814883386
0.71;0.5241212999667363;1.1313777505627132;0.22837367588973975
0.72;0.5798178273907678;1.233328727079107;0.26480256547829634
0.73;0.6351861815602644;1.3321078209980142;0.30311166083121677
0.74;0.6889201984550156;1.4257725005596043;0.34216529858883793
0.75;0.73958794568355;1.5123229930143633;0.380566461980235
0.76;0.7856937176933859;1.589774345979656;0.4167256972151624
0.77;0.8257558713400135;1.6562382787107475;0.44896455131592716
0.78;0.8583946581248963;1.7100090596769404;0.47564548185274674
0.79;0.8824217506864753;1.749646344970873;0.49531406651659216
0.8;0.8969217810406694;1.7740475364671362;0.5068350774659801
0.81;0.9013163890799422;1.7825029452848233;0.5095029889871359
0.82;0.8954031632775048;1.7747288112505868;0.5031104326889017
0.83;0.8793651525661997;1.7508757306471734;0.4879646033709195
0.84;0.8537506743740878;1.7115128177535064;0.46485021037447766
0.85;0.8194265149605715;1.6575895276943757;0.4349457490946969
0.86;0.7775079646500117;1.5903747568756388;0.39970424270103194
0.87;0.7292790131574812;1.5113871951933469;0.36072003266480723
0.88;0.6761203229904649;1.4223386161304954;0.31960566254855194
0.89;0.6194433445912856;1.3250786353504067;0.27788686865209533
0.9;0.5606275453335083;1.2215268383418079;0.2369209388207229
0.91;0.5009692893305788;1.1136084854571255;0.19784320510012746
0.92;0.44164722233735915;1.0032075340375413;0.16154025837139852
0.93;0.383702443007263;0.8921335704378379;0.128647045559628
0.94;0.32803035655495666;0.7820978482930712;0.09956278891985183
0.95;0.2753818576165086;0.6746973743291561;0.07447965729010746
0.96;0.22637131679558303;0.5714057079122746;0.05341844276565281
0.97;0.1814889732577236;0.473569042421046;0.036266414420666325
0.98;0.14111564920023825;0.3824061650275751;0.022813711982888164
0.99;0.10553810238814773;0.2990109956726398;0.012785859783127126
1.0;0.07496374714828269;0.22435654510415648;0.005871064679137357
1.01;0.04953385530468264;0.15929927730658391;0.0017418290330220533
1.02;0.02933467185230365;0.10458299705549931;7.103881208727131e-5
1.03;0.01440613781701244;0.06084150292876057;0.000543093869111599
1.04;0.004748108138646801;0.028599353120595083;0.0028608693763600515
1.05;0.0003240956070544497;0.00827019588598353;0.006749378403067109
1.06;0.0010626761187106054;0.00015223232109398262;0.011956988699912829
1.07;0.006856769717558883;0.004420522074204487;0.018254968493906197
1.08;0.017561078847874667;0.0211160289390541;0.025436024159364457
1.09;0.03298803041159162;0.050131548763387226;0.03331236583875717
1.1;0.05290263877230644;0.09119497814456473;0.041713707319187006
1.11;0.07701678615851806;0.14385077224409543;0.0504854809045518
1.12;0.10498350397564042;0.20744089476687314;0.05948743091264215
1.13;0.136391926796984;0.281087058513262;0.06859264165294666
1.14;0.17076365842706573;0.3636766097847806;0.07768689768009389
