t;G1;G2;G3
0.01;193.3693909578799;152.01458602782094;135.27209784396987
0.02;193.36501503741306;151.99130503892414;135.24194903902517
0.03;193.35773391362753;151.95272654494144;135.19211149673964
0.04;193.34755823786364;151.89911576573257;135.1231231980232
0.05;193.33449309262727;151.83073428266607;135.03558469462172
0.06;193.31853815801315;151.74784008780824;134.93015549396995
0.07;193.29968787236828;151.65068763242914;134.80755037733226
0.08;193.27793163097832;151.53952787483635;134.66853441777485
0.09;193.25325408360894;151.41460832754464;134.51391517946422
0.1;193.22563550060136;151.27617310379117;134.3445340796573
0.11;193.1950521382961;151.12446296340522;134.16125971188592
0.12;193.16147661712682;150.95971535804102;133.96498246887256
0.13;193.12487834977333;150.78216447578262;133.75660907100092
0.14;193.08522402675604;150.5920412851292;133.53705678745118
0.15;193.04247815811232;150.3895735783697;133.30724739490734
0.16;192.9966036674248;150.17498601435446;133.06810093431812
0.17;192.9475625321861;149.94850016067298;132.82052933979895
0.18;192.89531646240025;149.71033453524504;132.56543002457403
0.19;192.8398276075444;149.46070464733398;132.30367951613133
0.2;192.78105928050996;149.1998230379895;132.03612723554988
0.21;192.7189766302866;148.92789931992812;131.7635893235201
0.22;192.65354716162514;148.64514021685898;131.4868422162444
0.23;192.58474117908978;148.3517496022625;131.20661620670717
0.24;192.5125323447277;148.04792853762916;130.92358977263876
0.25;192.4368983474084;147.73387531016672;130.63838495452725
0.26;192.35782155881498;147.409785469982;130.35156354330783
0.27;192.27528962218406;147.07585186674507;130.06362395167
0.28;192.18929596903982;146.73226468584323;129.7749987659602
0.29;192.09984026191518;146.37921148403115;129.48605295552642
0.3;192.0069287636369;146.01687722458422;129.19708269780804
0.31;191.91057463617895;145.6454443119626;128.9083147614739
0.31;191.8077839936867;145.28025567169755;128.64290769642938
0.32;191.70262565633118;144.92051321212236;128.3887927845809
0.33;191.59272175678868;144.57180907835536;128.15660643701673
0.34;191.47806250854777;144.23443838680734;127.94498741710811
0.35;191.3586578319751;143.90870140089388;127.7524885432906
0.36;191.23453461686847;143.59490089420913;127.57760305714349
0.37;191.10573415840858;143.29333921436586;127.41878950972509
0.38;190.97230977846132;143.0043151794255;127.27449519390073
0.39;190.83432463555624;142.72812095101733;127.14317811684323
0.4;190.69184972112737;142.46503903123826;127.02332747290583
0.41;190.54496203613743;142.21533952300604;126.91348255071321
0.42;190.39374294054045;141.9792777760496;126.81224999530791
0.43;190.23827666775438;141.75709251461788;126.71831934895852
0.44;190.0786489970547;141.549004510548;126.63047681212404
0.45;189.91494607826817;141.35521582931742;126.5476171958535
0.46;189.74725340506075;141.17590963993948;126.46875407336691
0.47;189.5756549351873;141.01125054458055;126.39302817514235
0.48;189.40023235817196;140.86138535285644;126.31971410284368
0.49;189.22106451356325;140.72644420159156;126.24822546252392
0.5;189.03822696694738;140.60654190582767;126.17811853868213
0.51;188.85179175584489;140.50177942094305;126.10909464122075
0.52;188.66182732216555;140.41224529569348;126.04100124624753
0.53;188.46839865190586;140.33801699750487;125.97383201923552
0.54;188.2715676469337;140.27916199257265;125.90772576319378
0.55;188.07139375810354;140.2357384671752;125.84296427828237
0.56;187.86793491313043;140.20779558634004;125.77996905239858
0.57;187.66124877632004;140.1953731995069;125.71929662781645
0.58;187.45139438015275;140.1985009152234;125.66163241325444
0.59;187.23843417033078;140.21719647556412;125.60778263980097
0.6;187.02243650536118;140.25146336588332;125.55866409819151
0.61;186.80347864796985;140.30128759763855;125.51529124960246
0.62;186.58165027731383;140.36663360273732;125.47876027887351
0.63;186.35705753659525;140.44743917927636;125.45022966512724
0.64;186.12982760873572;140.54360943365614;125.43089688725055
0.65;185.90011378246564;140.65500967545213;125.42197095792007
0.66;185.66810093542364;140.78145723624303;125.42464053311085
0.67;185.43401131348784;140.92271222033307;125.44003744426932
0.68;185.1981104107444;141.07846728877067;125.46919590405207
0.69;184.96071266533144;141.2483367013839;125.51300825021461
0.7;184.72218661068115;141.43184494973355;125.57217858838845
0.71;184.48295906048807;141.62841542371436;125.64717611573823
0.72;184.2435178578611;141.83735968111776;125.73819038958487
0.73;184.0044126999163;142.05786801013366;125.84509127678479
0.74;183.76625357559857;142.2890020614496;125.96739666416671
0.75;183.52970643928805;142.52969035467845;126.10425112570391
0.76;183.29548589195025;142.77872741231207;126.25441853230387
0.77;183.06434485157718;143.0347771307759;126.41629098613282
0.78;182.83706144941166;143.29638076330903;126.5879154479623
0.79;182.61442365951854;143.56196958031686;126.76703806346646
0.8;182.39721241920157;143.82988192208205;126.9511646258108
0.81;182.18618418679418;144.09838400978904;127.13763404802023
0.82;181.98205397807746;144.3656935803611;127.32370039984492
0.83;181.7854799041592;144.63000519918484;127.50661820723275
0.84;181.59705010296548;144.88951600872076;127.68372545972619
0.85;181.41727280270553;145.14245068773832;127.85251912191306
0.86;181.2465704041495;145.38708442588634;128.01071856099816
0.87;181.08527795478565;145.62176286855245;128.15631346316295
0.88;180.93364481329857;145.8449189044992;128.2875952719558
0.89;180.7918383261133;146.05508682938273;128.40317332428498
0.9;180.65994946661596;146.2509132395315;128.50197728029545
0.91;180.5380001661628;146.43116345465;128.58324757525682
0.92;180.42595169703637;146.59472387598197;128.6465161081044
0.93;180.32371361803462;146.74060160787795;128.69157972840298
0.94;180.23115284843962;146.86792216305543;128.71846909645427
0.95;180.14810249303673;146.9759257226554;128.7274152380861
0.96;180.0743701298394;147.0639623962726;128.71881576982184
0.97;180.00974535632218;147.13148688513365;128.69320237184579
0.98;179.95400646388694;147.17805290157807;128.65121068110855
0.99;179.90692617130273;147.20330764648983;128.59355339684132
1.0;179.86827639529284;147.20698659775903;128.52099705501692
1.01;179.8378320709945;147.18890881966743;128.43434264634553
1.02;179.81537405820808;147.14897296605628;128.33441002645088
1.03;179.8006911831501;147.08715411866288;128.22202589451885
1.04;179.7935814719348;147.00350157452326;128.09801499285604
1.05;179.79385263330647;146.8981376706308;127.96319409796202
1.06;179.80132184613672;146.77125770764457;127.81836832683327
1.07;179.8158149036027;146.62313100481376;127.66432926346889
1.08;179.83716476231527;146.45410308290803;127.501854414316
1.09;179.86520954231483;146.26459892852154;127.33170752353715
1.1;179.899790023927;146.05512723988974;127.15463931661945
1.11;179.94074669088852;145.82628549046447;126.97138829191236
1.12;179.98791637666784;145.57876557230298;126.78268124264565
1.13;180.0411285830736;145.31335969871466;126.58923326649982
1.14;180.1002015592507;145.03096615338762;126.39174713263208
1.15;180.16493826121643;144.73259436155465;126.1909121287661
1.16;180.23512232997467;144.41936870510133;125.98740258030661
1.17;180.31051421373414;144.09253055242033;125.78187585512077
1.18;180.39084757863301;143.75343796615218;125.57496964508712
1.19;180.4758262000801;143.4035625002792;125.36729876982353
1.2;180.56512153726416;143.0444825759417;125.15945187371851
1.21;180.6583711757258;142.67787310242065;124.95198827825914
1.22;180.7551782976992;142.30549122147067;124.74543520958838
1.23;180.85511230005716;141.92915830333231;124.54028557769033
1.24;180.9577106246737;141.55073859453134;124.33699642207962
1.25;181.06248179944154;141.172115183285;124.13598806749413
1.26;181.1689096158094;140.79516417739856;123.93764396232514
1.27;181.27645829773567;140.4217281535364;123.74231111274709
1.28;181.38457845494952;140.05359001451444;123.55030098503113
1.29;181.49271356704799;139.6924483727978;123.36189073199395
1.3;181.6003067189308;139.33989546675315;123.17732460714616
1.31;181.70680730437445;138.9973984267406;122.99681545783012
1.32;181.81167743225524;138.66628446539477;122.82054622933146
1.33;181.91439780561163;138.34773029958833;122.64867145705678
1.34;182.01447289218947;138.0427558494047;122.48131876522869
1.35;182.11143526037375;137.75222202621438;122.31859042186551
1.36;182.20484901067888;137.47683223464787;122.1605650175474
1.37;182.2943122853583;137.21713708068043;122.00729933910182
1.38;182.3794588836094;136.97354170150246;121.85883050174647
1.39;182.4599590447954;136.7463151087639;121.71517839715698
1.4;182.53551948468098;136.5356009612946;121.57634854634918
1.41;182.60588278181217;136.34142924373234;121.44233546491637
1.42;182.67082622013743;136.1637284060006;121.31312651986848
1.43;182.73016019995953;136.00233760310738;121.18870608006623
1.44;182.78372632868457;135.85701873076866;121.0690597529839
1.45;182.8313952987528;135.72746797665692;120.95417861005839
1.46;182.87306465052004;135.61332666069922;120.8440633689321
1.47;182.90865649738973;135.5141912227265;120.73872848500697
1.48;182.93811526823615;135.42962228428667;120.63820606171657
1.49;182.96140550934382;135.3591527625584;120.54254947591983
1.5;182.97850978147807;135.3022950578386;120.45183663023309
1.51;182.98942668073485;135.25854736743466;120.36617276100444
1.52;182.99416900426374;135.22739919839393;120.28569274201612
1.53;182.9927620752984;135.20833616253032;120.21056283307774
1.54;182.9852422366065;135.2008441416777;120.14098183068909
1.55;182.97165551749126;135.20441291040885;120.0771815851422
1.56;182.9520564767117;135.21853929874527;120.01942685477158
1.57;182.92650722197325;135.24272996960295;119.96801447343408
1.58;182.89507660578587;135.2765038756945;119.92327181155504
1.59;182.8578395973132;135.3193944490424;119.88555451404024
1.6;182.81487683015706;135.37095156376222;119.85524349985887
1.61;182.76627432666132;135.43074329987613;119.83274120802892
1.62;182.71212340009345;135.49835752307945;119.8184670730677
1.63;182.65252073679088;135.57340328300538;119.81285220986193
1.64;182.5875686608452;135.6555120209596;119.81633328377403
1.65;182.51737558392998;135.74433856762133;119.8293455373752
1.66;182.4420566422322;135.83956190207144;119.85231494163942
1.67;182.36173452087243;135.94088563591478;119.88564943836433
1.68;182.2765404634336;136.048038180381;119.92972924413621
1.69;182.18661545999626;136.16077255026516;119.9848961969117
1.7;182.09211160115478;136.27886575655458;120.05144214722611
1.71;181.99319357766726;136.40211773974698;120.12959643028351
1.72;181.89004029558382;136.53034979838546;120.21951250570484
1.73;181.78284656497618;136.6634024724648;120.32125392080584
1.74;181.67182480706882;136.80113284935976;120.43477984193167
1.75;181.55720671027552;136.94341127108586;120.55993050548179
1.76;181.43924475138013;137.09011743627312;120.69641306177579
1.77;181.31821348527222;137.24113590836978;120.84378841313219
1.78;181.19441049704295;137.39635106324565;121.00145977064072
1.79;181.06815690589656;137.5556415341841;121.16866375632146
1.8;180.93979731330862;137.71887423947354;121.34446493989259
1.81;180.80969909993806;137.8858981061794;121.52775470242013
1.82;180.6782509980636;138.0565376314516;121.71725524490327
1.83;180.5458608987566;138.230586447707;121.91152939628654
1.84;180.41295289421438;138.40780107781003;122.10899661995586
1.85;180.27996360272277;138.5878950785699;122.30795528044594
1.86;180.14733787232063;138.77053377352314;122.5066108365061
1.87;180.01552400426638;138.955329767899;122.70310920868985
1.88;179.8849686736277;139.1418394197898;122.89557417302166
1.89;179.7561117472986;139.3295604130234;123.08214730219036
1.9;179.6293812066655;139.51793054135945;123.2610287510814
1.91;179.50518837231388;139.70632777354143;123.43051709030321
1.92;179.38392360317482;139.89407162789078;123.58904643842101
1.93;179.26595260586913;140.08042584672117;123.73521932147962
1.94;179.15161344645475;140.2646023272672;123.86783397227279
1.95;179.04121431142676;140.44576623827047;123.98590513687886
1.96;178.93503202226094;140.6230422297916;124.08867784398974
1.97;178.83331127153414;140.79552162707364;124.17563397788878
1.98;178.73626452075044;140.9622704855786;124.24649184993908
1.99;178.64407248108935;141.12233837178962;124.30119926643928
2.0;178.55688508780963;141.27476772164093;124.33992083182561
