t;G1;G2;G3
0.01;0.0;0.0;0.0
0.02;-0.002084182070655035;-0.002602104565206851;-0.0028684948016458574
0.03;-0.005528622069778024;-0.0069299076848564215;-0.0075672441045012
0.04;-0.0102950854444623;-0.01297667849678262;-0.013981593396056615
0.05;-0.01633447749528086;-0.02073687803508023;-0.021960880011297514
0.06;-0.023587560812778425;-0.0302059833864236;-0.03132219013407163
0.07;-0.031985748935123515;-0.041380297475098776;-0.04185461124542345
0.08;-0.041452611043262935;-0.05425648245400725;-0.053326328329911056
0.09;-0.0519061104999682;-0.06883083180367203;-0.0654943808531381
0.1;-0.06325998886929318;-0.08509897439086606;-0.07811084339003938
0.11;-0.07542452858370996;-0.1030558921240077;-0.09092646306141572
0.12;-0.08830776203527933;-0.12269578623699526;-0.10369579420663325
0.13;-0.10181685401577326;-0.144011910661893;-0.11618267450605402
0.14;-0.11585952035387709;-0.16699642487688235;-0.1281654566076829
0.15;-0.130345451067942;-0.19164027057640126;-0.13944182731857868
0.16;-0.14518770323947278;-0.2179330758347898;-0.14983305118433507
0.17;-0.16030402765278676;-0.24586308955063604;-0.15918749072885013
0.18;-0.17561809426906697;-0.27541714788381316;-0.16738328150891746
0.19;-0.19106058482287502;-0.30658067312391696;-0.17433007511532878
0.2;-0.20657012608563094;-0.33933770304463146;-0.17996980605903878
0.21;-0.22209406257170758;-0.37367047212252674;-0.18427701774358068
0.22;-0.23758914758024763;-0.4095585147618138;-0.18725890898568048
0.23;-0.2530221074909781;-0.4469786312631179;-0.18895362551624298
0.24;-0.2683699005785986;-0.4859057589701463;-0.18942663805837828
0.25;-0.2836196955257065;-0.5263135158346623;-0.1887667538007674
0.26;-0.2987686733598827;-0.5681743916002;-0.18708209751847132
0.27;-0.3138236845432472;-0.6114599412023458;-0.18449588568639838
0.28;-0.32880079600616935;-0.656140975832527;-0.18114219081676766
0.29;-0.34372476505135646;-0.7021877469450694;-0.17716187800421168
0.3;-0.35862847727972486;-0.7495701193622969;-0.172698871694872
0.31;-0.37355238433096993;-0.7982577306330655;-0.16789688182055068
0.31;-0.36384746705378646;-0.8027247437729308;-0.14825731346822452
0.32;-0.33085813407614734;-0.7624970588184043;-0.11622751928623434
0.33;-0.2992800182934699;-0.7202879886604049;-0.08973004286808339
0.34;-0.26925608750221447;-0.6763536917924863;-0.06836036380664537
0.35;-0.2408908554446358;-0.630987964270034;-0.051617894888877386
0.36;-0.21425625798753647;-0.5845218592994503;-0.03894345289209581
0.37;-0.1893971084917448;-0.5373220374474702;-0.029752281709969963
0.38;-0.16633609264256244;-0.4897877824317674;-0.023462131945907717
0.39;-0.14507830913772887;-0.442346736537773;-0.01951613279172716
0.4;-0.1256153917241895;-0.3954495305747374;-0.017400398540246574
0.41;-0.10792926245531728;-0.3495635878719338;-0.016656505609661438
0.42;-0.09199556975171341;-0.30516645623273003;-0.016889158799353845
0.43;-0.07778686162635527;-0.26273905688263033;-0.017769531183646194
0.44;-0.0652755373208299;-0.22275923188204705;-0.019034899705106127
0.45;-0.05443661181813433;-0.185695923702563;-0.020485297353573555
0.46;-0.0452503186271295;-0.15200424016384195;-0.021977955508742607
0.47;-0.037704567318446305;-0.1221215555823131;-0.023420314642321572
0.48;-0.03179726275031943;-0.0964646872922809;-0.024762342839333897
0.49;-0.02753848213141866;-0.07542807786623679;-0.025988831050148205
0.5;-0.024952496216312608;-0.05938281700710077;-0.027112242245687205
0.51;-0.024079612596366012;-0.0486762611238672;-0.02816658305895365
0.52;-0.024977807378099688;-0.04363195960265845;-0.029202649713639745
0.53;-0.027724092000329027;-0.044549569663373166;-0.030284887721256572
0.54;-0.03241553376056123;-0.05170442269554152;-0.03148999914601608
0.55;-0.039169814035226166;-0.06534639703846837;-0.03290732536991104
0.56;-0.04812516952944568;-0.0856977689967975;-0.03464092119762185
0.57;-0.05943951865471571;-0.11294975123895482;-0.03681311217981522
0.58;-0.07328852664292905;-0.14725747031269507;-0.03956918284778441
0.59;-0.0898623117824157;-0.18873317644268187;-0.04308267125357496
0.6;-0.10936044679147036;-0.2374375214460126;-0.04756054241174304
0.61;-0.13198487217600396;-0.29336879011706735;-0.0532472862257532
0.62;-0.1579303242770417;-0.3564500352537081;-0.06042675197685539
0.63;-0.18737190554103775;-0.42651415908232737;-0.06942032336367344
0.64;-0.22044950744697617;-0.503287120184355;-0.08057990207779983
0.65;-0.25724894336766513;-0.5863696368445358;-0.09427414348669214
0.66;-0.2977797895865076;-0.675217996593568;-0.11086640723833358
0.67;-0.341950364809133;-0.7691250220379561;-0.1306833719960448
0.68;-0.3895411825426007;-0.8672028483735644;-0.15397462428008657
0.69;-0.4401789145993982;-0.9683695719759117;-0.1808650023454279
0.7;-0.4933133996833288;-1.0713421303042034;-0.2113029439933228
0.71;-0.5482009119711401;-1.1746380882085306;-0.24501003839470983
0.72;-0.6038974393951259;-1.2765890647248181;-0.28143892798325026
0.73;-0.6592657935645698;-1.3753681586436097;-0.3197480233361516
0.74;-0.7129998104592652;-1.4690328382050735;-0.3588016610937505
0.75;-0.7636675576877372;-1.5555833306596973;-0.3972028244851229
0.76;-0.8097733296975059;-1.6330346836248448;-0.4333620597200221
0.77;-0.8498354833440633;-1.6994986163557833;-0.46560091382075547
0.78;-0.8824742701288713;-1.753269397321816;-0.4922818443575411
0.79;-0.9065013626903712;-1.7929066826155837;-0.5119504290213508
0.8;-0.9210013930444839;-1.8173078741116768;-0.523471439970701
0.81;-0.9253960010836748;-1.8257632829291912;-0.5261393514918172
0.82;-0.9194827752811544;-1.8179891488947806;-0.5197467951935433
0.83;-0.9034447645697662;-1.7941360682911938;-0.5046009658755217
0.84;-0.8778302863775728;-1.7547731553973567;-0.48148657287904073
0.85;-0.8435061269639765;-1.7008498653380593;-0.4515821115992219
0.86;-0.8015875766533407;-1.6336350945191604;-0.41634060520552135
0.87;-0.7533586251607374;-1.5546475328367142;-0.3773563951692632
0.88;-0.7001999349936515;-1.4655989537737177;-0.3362420250529771
0.89;-0.6435229565944104;-1.3683389729934905;-0.2945232311564926
0.9;-0.5847071573365742;-1.2647871759847649;-0.2535573013250956
0.91;-0.5250489013335915;-1.1568688230999669;-0.2144795676044793
0.92;-0.4657268343403237;-1.0464678716802773;-0.17817662087573252
0.93;-0.407782055010187;-0.9353939080804793;-0.1452834080639467
0.94;-0.3521099685578455;-0.8253581859356297;-0.11619915142415836
0.95;-0.299461469619367;-0.7179577119716432;-0.09111601979440417
0.96;-0.25045092879841774;-0.6146660455547001;-0.07005480526994196
