t;G1;G2;G3
0.01;-0.16246410876384285;-1.8415288389564697;-0.6518355974567595
0.02;-0.1491277909860778;-1.7371831327734935;-0.6113323490609368
0.03;-0.13850144191995195;-1.638670435386323;-0.5704468824200388
0.04;-0.130568890339311;-1.5456690944872984;-0.5292136238108046
0.05;-0.12531754095564393;-1.457874963673877;-0.48768762632585555
0.06;-0.12273372934337433;-1.375000460678039;-0.4459433743113751
0.07;-0.12279780296796859;-1.2967736758178008;-0.4040738104881127
0.08;-0.12547434355044437;-1.2229375280230295;-0.3622397137802623
0.09;-0.13069019479093696;-1.1532489658926814;-0.32062614115766486
0.1;-0.13833965715333904;-1.0874782113902526;-0.2793795375567784
0.11;-0.148289270165845;-1.0254080439190525;-0.23864828943618413
0.12;-0.16037589110492873;-0.9668331226287601;-0.19859163661234228
0.13;-0.17440586762164637;-0.9115593449235818;-0.15937761056773922
0.14;-0.1901553394925108;-0.8594032392499568;-0.12118058456356087
0.15;-0.20737172166053391;-0.8101913903435961;-0.08417846269123112
0.16;-0.2257763614092671;-0.7637598952123089;-0.048549568313144574
0.17;-0.2450682997859182;-0.7199538482225546;-0.014469324449008936
0.18;-0.2649290068392885;-0.6786268537442541;0.017893154800977293
0.19;-0.2850279114949812;-0.6396405648903457;0.0483784208531686
0.2;-0.3050286078916724;-0.6028642469651545;0.07683977850971535
0.21;-0.3246455806024307;-0.5681743643094512;0.10311315380565246
0.22;-0.34363737748145795;-0.5354541892982689;0.1270232089536271
0.23;-0.3617220108553329;-0.5045934323144043;0.1484464492629206
0.24;-0.378595610599965;-0.4754878915841747;0.16730975690647468
0.25;-0.39397761204314374;-0.4480391218188296;0.18356505912687432
0.26;-0.40761461975777874;-0.422154120661191;0.19718900934929282
0.27;-0.41928310968528476;-0.3977450319907858;0.20818194054134492
0.28;-0.4287910079103618;-0.3747288651905085;0.21656610656589406
0.29;-0.4359781485331093;-0.3530272295252933;0.22238331601352773
0.3;-0.4407156623456475;-0.3325660828282051;0.22569208192545145
0.31;-0.442904388392384;-0.313275493733654;0.22656442051997827
0.31;-0.6388576541856246;1.4846593237569128;1.3446064257194714
0.32;-0.6766266415725504;1.4994661244401934;1.2840432086593474
0.33;-0.7050383853276155;1.514317209700549;1.221222639344006
