t;G1;G2;G3
0.01;1.9336040374139905;1.519835343387839;1.3523189621271339
0.02;1.9334418494170191;1.519138654110357;1.351417267442769
0.03;1.933193115261134;1.5179855280144063;1.3499281338302744
0.04;1.932858390879766;1.5163851325532574;1.3478692540843986
0.05;1.9324380635134129;1.5143464999573883;1.345260145934975
0.06;1.9319323571550024;1.5118785291057681;1.3421220389039585
0.07;1.931341337807185;1.5089899873714943;1.3384777594751245
0.08;1.930664919863669;1.5056895124421947;1.3343515776271437
0.09;1.9299028754338756;1.5019856141155743;1.3297689693400776
0.1;1.9290548456951255;1.4978866760704723;1.3247563546606351
0.11;1.9281203521929338;1.4934009576137957;1.319340895231902
0.12;1.9270988084893184;1.4885365954036665;1.3135503313096604
0.13;1.9259895332782488;1.483301605149131;1.307412816389773
0.14;1.9247917651854634;1.4777038832867528;1.3009567430742162
0.15;1.9235046792073216;1.471751208634413;1.294210561543869
0.16;1.922127404672566;1.4654512440226317;1.2872025924690882
0.17;1.9206590445427045;1.4588115379037168;1.2799608365917843
0.18;1.9190986958047924;1.4518395259390406;1.2725127835306511
0.19;1.9174454706578927;1.4445425325647414;1.2648852225722995
0.2;1.9156985181502217;1.4369277725361398;1.2571040582871014
0.21;1.9138570442217133;1.4290023524511548;1.249194128035761
0.22;1.9119203271079008;1.4207732722530073;1.241179012468586
0.23;1.9098877304370032;1.4122474267124872;1.2330808460908775
0.24;1.9077587196955303;1.403431606890061;1.2249201513016077
0.25;1.9055328819949182;1.3943325015780996;1.216715704330898
0.26;1.9032099453851343;1.3849566987234923;1.2084844257888694
0.27;1.9007897961017755;1.3753106868309208;1.200241291982839
0.28;1.898272493610098;1.3654008563470668;1.1919992668563344
0.29;1.8956582833919924;1.3552335010260124;1.18376925380078
0.3;1.8929476074995197;1.3448148192761116;1.1755600660372314
0.31;1.890141112971215;1.3341509154885867;1.167378413789764
0.31;1.8871529973042638;1.323715655795314;1.159927634307357
0.32;1.8840983583784292;1.3134573042521456;1.152824898777109
0.33;1.880909771656457;1.3035564852797863;1.1463975446451353
0.34;1.8775872967971177;1.2940210465208526;1.1406029504208448
0.35;1.8741315829703797;1.2848589700139643;1.1353960366454565
0.36;1.8705437852403708;1.2760782928503387;1.130730062342595
0.37;1.866825486375906;1.2676870190769045;1.1265573749259137
0.38;1.8629786244311906;1.259693026821649;1.1228301145216255
0.39;1.8590054261800264;1.252103974970971;1.1195008726560334
0.4;1.8549083463146552;1.2449272138068475;1.1165233042404776
0.41;1.8506900122168435;1.238169703777465;1.1138526909995217
0.42;1.8463531740594794;1.2318379460398485;1.1114464541035032
0.43;1.8419006599890988;1.2259379276211857;1.1092646138555293
0.44;1.837335336162709;1.2204750830660764;1.1072701948246264
0.45;1.8326600714568442;1.2154542733528393;1.1054295757132329
0.46;1.8278777067247403;1.2108797817585426;1.1037127843415047
0.47;1.8229910285400055;1.2067553253052399;1.1020937392255228
0.48;1.8180027474283205;1.2030840794972677;1.1005504401513
0.49;1.8129154806689045;1.1998687133413695;1.0990651108918073
0.5;1.807731739868309;1.1971114312002566;1.0976242978389354
